"Serial","Name","Name_NoPunct","Location","Subloc","AltNames","AltNames_NoPunct","Length","Depth","Altitude","NGRSquare","NGREastings","NGRNorthings","OSGB36Eastings","OSGB36Northings","WGS84Latitude","WGS84Longitude","Description","Notes","Links","RegNotes","LocNotes","HydroFeed","HydroResurg","Geology","Registry","Tags","EditTime","EditAuthor"
"2313","McFarquhar's Cave","McFarquhars Cave","Aberdeenshire","Cromarty, McFarquhar's Bed","McFarquhar's Cave, MacFarquhar's Cave","McFarquhars Cave MacFarquhars Cave",NULL,NULL,NULL,"NH","79817","65272","279817","865272","57.66124344864896","-4.016029958626656","Sea Cave.

This name is given to a small Cave in which an eccentric old man belonging to Cromarty at some remote period, resided in for several years.",,"Scotland's Places",,"79817    65272    6",,,,"second","Cave;SeaCave","2020-01-17 18:09:05","jcrae"
"1572","Cairn Cave","Cairn Cave","Sutherland","Assynt, Creag nan Uamh",,,"4",NULL,NULL,"NC","27063","16786","227063","916786","58.1061723352718","-4.93657759169933","Cave","Coordinates estimated. Paced 140 m from Rana Hole at heading of 248 deg.

NC 26840 16640 or NC 26765 16820 are more likely coordinates.","TJ Log 1995",,"27063    16786    4",,,,"main","Cave","2018-02-23 13:21:30","jcrae"
"700","Drumruck Mine","Drumruck Mine","Kirkcudbrightshire","E of Water of Fleet, E of Drumruck, NW of Doon of Culreoch",,,NULL,NULL,NULL,"NX","58200","63600","258200","563600","54.9468346864051","-4.2154411216494","This mine is situated on the E side of the valley of the Little Water of Fleet, on the NW flank of the Doon of Culreoch. Four levels are ranged across the hillside, on an axis from WNW to ESE, with a shuttered concrete tank (possibly a settling pond) and a concrete winding-mechanism base on the terrace at the WNW side of the workings. A brick-built magazine lies on a terrace a little to the S of the mine. The mine was opened a few years before the First World War (it is not shown on the revision of the 2nd edition of the OS 6-inch map (Kirkcudbrightshire 1908, sheet xli), but the [poor] efficiency of the crusher resulted in the loss of the majority of the ore (Wilson and Flett, 1921). Wilson and Flett identified three levels (NX 5825 6367,NX 5834 6361 and NX 5847 6357), the lowest one of which was about 800 ft long. [Canmore]","Opened before 1914 by Co. Murray Baillie of Cally. On east bank of Little Water of Fleet, opposite Scrogs of Drumruck. (Donnachie).

NX584637 marked as disused mine shaft on Outdoor Leisure 32 map.

Slight discrepancy between the Canmore record and the Historic Environment Record. Canmore coordinates (a single point) place the mine south of the HER coordinates (a large roughly rectangular area) but both are in a similar location north-west of  the Doon of Culreoch, due east of Drumruck Farm . Scarring and spoil heaps are still visible on aerial photography.","aditnow. 

Gazetteer of Metal Mines of Scotland, p. 21. 

Mines of South-west Scotland, p. 13. 

Non-Ferrous Metal Mines of South-west Scotland, p. 18.

Index of Placenames in Girthon & Anwoth

Historic Environment Record, MDG9818.

Canmore ID  88543.

Bing Maps, aerial photography.

Wilson, G V. (1921) Special reports on the mineral resources of Great Britain. Vol.17 - The lead, zinc, copper and nickel ores of Scotland, Memoirs of the Geological Survey. Edinburgh. Page(s): 123-4.",,"58200    63600    6
58300    62800",,,"Copper","second","Mine;ManMade;Archaeo","2020-10-04 16:52:27","jcrae"
"1403","Tillicoultry Mine","Tillicoultry Mine","Clackmannanshire","Tillicoultry, Mill Glen","Tillicoultry","Tillicoultry",NULL,NULL,NULL,"NS","91200","98100","291200","698100","56.1631076057647","-3.75351351221282","Mine","Despite some sources claiming Tillicoutry Mine is in Perthshire, this site is definitely in Clackmannanshire.","aditnow.
Journal, Glasgow Spel. Society Vol.1 No.2 (1964) p.3
GMMoS, p. 60.",,"91200    98100    6",,,"Copper","second","Mine;ManMade;Archaeo","2018-06-04 10:23:59","alanj"
"1319","Shelf (Uamh an t-)","Shelf Uamh an t","Invernessshire","Skye, Coille Gaireallach","Shelf Cave, Sgeilp (Uamh an t-), CG22, C.G. 22","Shelf Cave Sgeilp Uamh an t CG22 CG 22","27.4","7.6","91","NG","60486","19674","160486","819674","57.2050321116277","-5.96741494063423","Hole",,"CoSkye, p. 41.",,"60486    19674    10
Mar 2008 - updated position.",,,"Limestone","main","Hole","2018-02-13 19:08:33","jcrae"
"3105","Monkcastle Fireclay Mine","Monkcastle Fireclay Mine","Ayrshire","Dalry, High Monkcastle",,,NULL,NULL,NULL,"NS","27955","47535","227955","647535","55.6906860698328","-4.73859977737255","Mine",,,,"27955    47535    8",,,"Fireclay","second","Mine","2018-03-26 10:09:36","alanj"
"345","Caird's Cave [2]","Cairds Cave 2","Aberdeenshire","Colliston, N of Slains Castle",,,"5",NULL,"0","NK","05541","30631","405541","830631","57.3661158145854","-1.90952991808218","Cave","Caird or Cairt appears to be old Scots for Gypsy or Traveller.","GSG Bulletin 3.4.1 Oct/1996, p. 27, in Young, Ivan, The Lost Cave of  Slains pp. 27-30.",,"05541    30631    8",,,,"main","Cave","2018-04-05 12:41:00","jcrae"
"2525","Loch Ness [Overview]","Loch Ness Overview","Invernessshire","Loch Ness","Loch Ness (Caves of)","Loch Ness Caves of",NULL,NULL,NULL,"NH","50500","23500","250500","823500","57.2775998901255","-4.48137322558314","A generic reference which covers a very wide area. There are three known caves , Corrie's Cave, Dunbonnet's Cave and Abriachan Cave but there are also references  to mythical underwater caves.","See also Corrie's Cave, Dunbonnet's Cave and Abriachan Cave.",,,"50500    23500    4",,,,"second","Other","2019-01-29 11:50:33","jcrae"
"4035","Killin No. 4","Killin No 4","Perthshire, Stirlingshire","Killin,S of Loch Tay, NW of Lochan Breaclaich",,,NULL,NULL,NULL,"NN","61600","32008","261600","732008","56.4598343755308","-4.24759066802389","Sink",,,,"61600    3200899    4",,,,"second","Sink","2018-03-26 09:48:21","alanj"
"4286","Airigh nam Faochag (Uamh)","Airigh nam Faochag Uamh","Invernessshire","North Uist","Sheiling of the Whelks (Cave of the)","Sheiling of the Whelks Cave of the",NULL,NULL,NULL,"NF","92877","67176","92877","867176","57.5897572119516","-7.14168307349515","Cave?",,,,"92877    67176    6",,,,"second","Cave","2018-03-24 10:13:54","alanj"
"1303","Sgoltaich Fhada [2] (Uamh an)","Sgoltaich Fhada 2 Uamh an","Argyllshire","Appin, Bealach","Sgoltaidh Fhada [2] (Uamh an), Long Cleft [2]","Sgoltaidh Fhada 2 Uamh an Long Cleft 2","10",NULL,"195","NM","97690","51150","197690","751150","56.6084318931867","-5.29801403918312","Cave","See also Uamh an Sgoltaich 1, 3 & 4 [1302], [1304] & [1305].","AppCG, p. 11.
Bull. GSG 2nd Series Vol.2 No.1 (1977) p.28",,"97690    51150    8
Mar 2008 - updated position.",,,"Limestone","main","Cave","2018-04-14 17:50:49","alanj"
"1606","Colonel's Cave","Colonel’s Cave","Aberdeenshire","Inverey, Creag a' Chait",,,NULL,NULL,NULL,"NO","08700","88700","308700","788700","56.9804449335052","-3.50379783235668","Cave","Original coordinates not very accurate revised position from 10 K map.","CoSBib.

CPNA. Mlne, John, 1904, Celtic Place Names in Aberdeenshire.",,"08700    88700    6
[08033]    [88452]",,,,"main","Cave","2018-02-26 17:32:34","jcrae"
"844","Gortantaoid Point [2]","Gortantaoid Point 2","Argyllshire","Islay, 500 m NE of Gortanaoid Point",,,NULL,NULL,NULL,"NR","33600","74691","133600","674691","55.891420925717576","-6.262406504298516","Cave, contains deposits and constructions.",,"Discovery & Excavation, New Series Volume 3, 2002, p.18. 

Islay Caves Project, 2002.

Pastmap.

Canmore ID 239409.

WoSAS PIn 50710.",,"33600    74690    8",,,,"main","Cave;Archaeo","2020-09-11 12:43:00","jcrae"
"4187","Lod Saile Cave","Lod Saile Cave","Wester Ross","Outer Hebrides, Lewis, Camas na Clibhe, NW of Lod Saile",,,NULL,NULL,NULL,"NB","07744","36720","107744","936720","58.22193892573103","-6.979499866657595","Sea Cave",,,,"07744    36720    8",,,,"main","Cave;SeaCave","2018-05-22 18:14:22","jcrae"
"290","Brierhaugh Cave","Brierhaugh Cave","Angus","Arbroath, Auchmithie, Rumkemno, Rumness","Arbroath Cave [37]","Arbroath Cave 37",NULL,NULL,NULL,"NO","68893","45225","368893","745225","56.5978858923469","-2.50821130813702","Sea Cave","Location from unattributed and not to scale plan of caves of Arbroath. Coordinates from Streetmap.","Streetmap.",,"68893    45225    6",,,,"main","Cave;SeaCave","2020-09-18 19:11:04","jcrae"
"227","Allt Aulavaig Cave [5]","Allt Aulavaig Cave 5","Invernessshire","Skye, Sleat, Ord, Tokavaig",,,"2","1","124","NG","61500","11700","161500","811700","57.1341005629674","-5.94304399627235","Tiny hole in bracken 6 m downhill of Allt Aulavaig Cave 4. 2 m long, 1 m high & wide. Through hole in floor similar chamber seen floored with rocks & earth. No way on apparent.","See also Allt Aulavaig [Overview].","Caves of Skye, Ryder, Peter F., 1995, p.56.",,"NG 61500 11700 to 6 digits.
NG 61340 11724 to 10 digits.",,,"Limestone, Pipe Rock Member - Quartz-arenite","main","Hole","2020-10-18 18:20:20","jcrae"
"4288","Talla Dearg (Uamh an)","Talla Dearg Uamh an","Invernessshire","South Uist","Red Hall (Cave of the)","Red Hall Cave of the",NULL,NULL,NULL,"NF","76650","36183","76650","836183","57.3012755592979","-7.37102298945879","Cave?",,,,"76650    36183    4",,,,"second","Cave","2018-03-24 10:14:07","alanj"
"3198","St. Bernard's Cave","St Bernards Cave","City of Edinburgh","Edinburgh",,,NULL,NULL,NULL,"NT","24365","73945","324365","673945","55.95255610879105","-3.212815921321549","Cave (Lost)",,"Bull. GSG 3rd Series Vol.1 No.1 (1989)p.19

Bull. GSG 4th Series Vol.4 No.2 (2012) p.21

Smith, John Turnbull (1907) 'A Sketch of St. Bernard's'","NT 24365 73946","Previously marked at NT 26000 73000 claimed 6 digit accuracy but actually an arbitrary point. New figures from anecdotal position at Randonlph Cliffs.",,,,"second","Cave;Lost","2019-01-24 19:10:58","jcrae"
"322","Grahamslaw [8]","Grahamslaw 8","Roxburghshire","Ecksford, Kale Water, 1 mile E of A68 beside B6401 to Yetholm",,,"2.3","2.2","100","NT","72300","27100","372300","627100","55.536829141023","-2.44045058440787","Rock Cut Chamber",,"British Caver, 1960. 

Caves of Scotland Bibliography, p. 91-92.  As Grahamslaw [1].

GSG Bulletin 4.4.3., 2010, p. 7. Salvona Jim, Grahamslaw Caves. Reprinted from BC, 1960.",,"72300    27100    6",,,"Red Sandstone","second","ManMade;Archaeo","2018-04-03 17:22:47","jcrae"
"3474","*Natural Arch","Natural Arch","Argyllshire","Islay, Gamhna, Poll nan, nr Uamh Mhor",,,NULL,NULL,NULL,"NR","29530","47907","129530","647907","55.6491810600886","-6.30074392106389","Sea Cave",,,,"29530    47907    8",,,,"second","SeaCave","2018-03-26 18:03:52","alanj"
"3621","CH3","CH3","Morayshire","Burghhead/ Cummingston",,,NULL,NULL,NULL,"NJ","12714","69155","312714","869155","57.7036942688924","-3.46630142400051","Sea Cave",,,,"12714    69155    8",,,,"second","SeaCave","2018-03-26 18:14:53","alanj"
"1565","Luinge (Uamh na)","Luinge Uamh na","Invernessshire","Skye, Idrigill Point",,,NULL,NULL,NULL,"NG","22175","38220","122175","838220","57.34948166210608","-6.620377571478444","Sea Cave","This name signifies ""Cave of the ship"", and is applied to a cave of considerable size which could not be explored without the use of a small boat owing to it being at the foot of a very high cliff on the coast.","OS 10k Backgound Mapping.

Streetmap

Scotland's Places. Mr. A. McNeill Mr. J. McLeod.","122169, 838218","22175    38220    8",,,,"main","SeaCave","2018-05-08 13:57:03","jcrae"
"4318","* Cave (South Uist)"," Cave South Uist","Invernessshire","South Uist",,,"5.5",NULL,"133","NF","84319","33298","84319","833298","57.2808317030136","-7.24060981429277","Boulder Cave, Souterrain",,,,"84319    33298    10",,,,"main","Cave;Archaeo","2018-03-26 18:20:07","jcrae"
"3131","Portknockie [Overview]","Portknockie Overview","Banffshire","Portknockie","Portknockie Caves","Portknockie Caves",NULL,NULL,NULL,"NJ","83000","66000","383000","866000","57.6835235799903","-2.28674777850511","Generic",,,,"83000    66000    4",,,,"second","Other","2019-01-29 12:06:30","jcrae"
"1970","Burghhead Castle Cellar, Great Well Chamber","Burghhead Castle Cellar Great Well Chamber","Morayshire","Nain",,,NULL,NULL,NULL,"NJ","10900","69100","310900","869100","57.7028442598915","-3.49670774645166","Rock Cut Chamber","Previously noted as Aberdeenshire.","CoSBib, p. 35.",,"10900    69100    6",,,,"second","ManMade;Archaeo","2018-03-19 18:14:26","jcrae"
"5002","Eich Bhric (Uamh an) [Mull]","Eich Bhric Uamh an Mull","Argyll & Bute","Mull, Ross of Mull","Cave of the Speckled Horses, Cave of the Spotted Horse.","Cave of the Speckled Horses Cave of the Spotted Horse",NULL,NULL,NULL,"NM","38396","18375","138396","718375","56.285471577977766","-6.228678301390302","A Cave in the rock north west of the entrance of Slochd nam Bà Sig: [Signification] ""Cave of the Spotted horse"".","Do not confuse with the cave with the same name on Skye.","Argyllshire, Sheet CXVII (includes: Kilfinichen And Kilvickeon), Survey date: 1878   Publication date: 1881.

Pastmap, OS 10k background mapping.

Bing Maps, aerial photography.

Scotland's Places. https://scotlandsplaces.gov.uk/digital-volumes/ordnance-survey-name-books/argyll-os-name-books-1868-1878/argyll-volume-37/146.",,,,,,"second","Cave;SeaCave","2020-09-25 15:31:36","jcrae"
"3619","CH1","CH1","Morayshire","Burghhead/ Cummingston",,,NULL,NULL,NULL,"NJ","13006","69195","313006","869195","57.7041100877608","-3.46141803589563","Natural Arch",,,,"13006    69195    8",,,,"second","Arch","2018-03-26 18:13:28","alanj"
"4217","Mopul Cave [2]","Mopul Cave 2","Shetland","Fair Isle, SE of Mopul",,,NULL,NULL,NULL,"HZ","22458","73625","422458","1073625","59.54791618603329","-1.6045515382880728","Fissure cave in steep sea cliff south-east of Mopul.",,"Bing Maps, aerial photography.

Pastmap.",,,,,,"main","Cave;Fissure","2020-09-19 19:29:35","jcrae"
"3927","Cave near the Ford","Cave near the Ford","Sutherland","Assynt, Traligill","Faisg Air Àth [Uamh], Uamh Faisg Air Àth","Faisg Air Àth Uamh Uamh Faisg Air Àth","3",NULL,NULL,"NC","27430","20910","227430","920910","58.1433072169069","-4.93339986978122","Cave",,,,"27430    20910    6",,,,"second","Cave","2018-03-26 10:25:27","alanj"
"3627","Rob Roy's Cave [Aberfoyle]","Rob Roys Cave Aberfoyle","Stirlingshire","Aberfoyle, S side of Loch Ard, 500 m W of the Narrows",,,NULL,NULL,NULL,"NN","48063","01390","248063","701390","56.1808393921406","-4.44938410576421","Cave",,,,"48063    01390    6",,,,"second","Cave","2019-08-06 13:35:07","jcrae"
"1003","Lauder Mine","Lauder Mine","Berwickshire","Lauder",,,NULL,NULL,NULL,"NT","51000","49600","351000","649600","55.7372992485411","-2.78192876537493","Mine","Mine abandoned prior to 1792 so map ref is a bit of a guess.  Some indications of copper mine discovered in the neighbourhood of Lauder. 

Near Lauder, at the head of the district several specimens of copper ore were found. In the parish of Boncle, a copper mine was worked some years ago on the estate of  Lord Douglas.  

Other mentions in various newspapers but ore seems to have been poor or worthless. Various old quarries at Scare Law, Pilmuir and Trabrown Hill. 

OSA mentions some copper mines, but supposedly not sufficiently rich to defray the expense of working. 

About 12 years ago [c. 1800], a copper mine was wrought on a small farm called Hoardweel; the ore is said to have been rich, but the working was given up, owing to the vien having failed. 

See also Elba Mine (near Bonkle Wood and Bonkle Castle).","aditnow. 

GMMoS, p. 36. 

Forsyth, Robert, The Beauties of Scotland.

OSA, vol. 1, p. 73. 

The Scots Magazine July 1796.

The Traveller's Guide Through Scotland, 1812, p. 123.",,"51000    49600    4",,,"Copper","second","Mine;ManMade;Archaeo","2018-02-06 13:54:07","jcrae"
"3152","Cathaig (Uamh na)","Cathaig Uamh na","Argyllshire","Lismore, Port an Dreadhain, Ailean",,,NULL,NULL,NULL,"NM","82920","40940","182920","740940","56.5102755993181","-5.52962891073271","Cave",,,,"82920    40940    6",,,,"second","Cave","2018-03-26 10:14:37","alanj"
"3173","Rheuintalen Cave","Rheuintalen Cave","Argyllshire","Jura, N of Loch Tarbert, Rubh an t-Sailein","Ruantallian Cave, Corpach Rubh an t-Sailein","Ruantallian Cave Corpach Rubh an tSailein",NULL,NULL,NULL,"NR","50500","83200","150500","683200","55.9767366786565","-6.00073434137903","Cave
Canmore ID 98567 & 758179. NR58SW 5 5053 8339. Ruantallain Cave was used as a resting place for corpses which were being taken to Oronsay for burial. J Mercer 1974. [There are a number of caves in the vicinity of Ruantallain (NR 505 832). The only one named on the OS 6"" map, (1900) is 'Corpach Rudh' an t-Sailein (NR 5054 8339) described in the ONB as a ""large cave"", used for storing materials"".] Name Book (Argyll) 1878. According to Mr Mercer, Ruantallain Cave and Corpach Rubh' an t-Sailean are one and the same at NR 5053 8339. It measures 23.0m deep, 10.0m wide and up to 8.0m high. There is no evidence, i.e. crosses, to verify its use as a resting place for corpses (apart from the name); more recently the cave was utilised as a shelter for a horse, with a wall across the entrance and a byre inside. Surveyed at 1:10000. Visited by OS (NKB) 22 May 1978. Very large W-facing cave. It may have been used for storing coffins prior to their being shipped to Colonsay or Iona for burial. The cave is approached by a cart track from the nearby deserted settlement of Ruantailain. It is closed off by a high wall with two wooden gate-posts flanking a broad entrance. A low platform running across the rear of the cave is retained by drystone walling. Incorporated in it is a stone-walled animal stall with a manger. A possible circular kiln is situated in front of the cave entrance. A test pit was dug to bedrock in the northern part of the cave, 11m from the entrance wall and 6.5m from the end of the animal stall. No cultural material was found. Although it was understood to have been submerged for a time in the mid-Holocene, no evidence of this was found in the test pit. Sponsor: NMS. K Hardy 2004.
Pastmap
Streetmap",,,,"50500    83200    6
50530    83280
50530    83388",,,,"second","Cave","2018-03-26 10:16:40","alanj"
"3140","*Caves","Caves","Caithness","Wick, The Brough",,,NULL,NULL,NULL,"ND","36600","48300","336600","948300","58.4184330179324","-3.08698064386405","Caves",,,,"36600    48300    6",,,,"second","Cave","2018-03-26 10:10:44","alanj"
"5078","Burghlee Shaft [1]","Burghlee Shaft 1","MIdlothian","Bilston Glen",,,NULL,NULL,NULL,"NT","27693","64946","327693","664946","55.87223137921833","-3.1571222824027103",,,"Edinburghshire, Sheet 12 (includes: Glencorse; Lasswade; Penicuik), Survey date: 1852   Publication date: 1854.

Pastmap, OS 10k background mapping.",,,,,,"second","Mine;Shaft;ManMade;Lost","2020-10-15 20:52:31","jcrae"
"3395","Tye's Tunnel","Tye’s Tunnel","East Lothian","Eyemouth, St. Abb's Head",,,NULL,NULL,NULL,"NT","91370","69390","391370","669390","55.9175211259307","-2.13964974823357","Tunnel",,,,"91370    69390    8",,,,"second","Tunnel","2018-03-26 12:46:40","alanj"
"4235","Skerry Nessan Cave","Skerry Nessan Cave","Shetland","Fair Isle, W Skerry Nessan",,,"25","12","0","HZ","20680","69665","420680","1069665","59.5124486774413","-1.63638128430995","Sea Cave or possibly a natural arch at the base of steep cliffs south-east of Meo Ness. Skerry Nessan is offshore.","Aerial photographs suggest a large natural arch turning 90 degrees with its main entrance facing south-east towards the skerry. A smaller entrance faces south-west.","Pastmap.

Bing Maps, aerial photography.",,"20680    69665    6",,,,"main","Cave;Arch;SeaCave","2020-09-19 23:17:28","jcrae"
"3811","*Natural Arch","Natural Arch","Shetland","Fetlar, Silda Hevda",,,"35",NULL,"0","HU","66715","92724","466715","1192724","60.6123571503331","-0.78314376810804","Natural Arch",,,,"66715    92724    6
66725    92754",,,,"second","Arch","2018-03-26 12:55:18","alanj"
"2588","Monk's Cave","Monk’s Cave","Argyll & Bute","Little Cumbrae",,,NULL,NULL,NULL,"NG","48000","69000","148000","869000","57.6402258489218","-6.22421396415059","Cave",,,,"48000    69000    4",,,,"second","Cave","2018-03-23 16:14:10","alanj"
